race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Seoul_2024_race011,seoul_2024,209,211,99.0521327014218,30.0,1280,720,45,255,right,0.752,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race011_pose.json
Speed_finals_Seoul_2024_race012,seoul_2024,143,145,98.62068965517241,30.0,1280,720,45,189,right,0.71,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race012_pose.json
Speed_finals_Seoul_2024_race013,seoul_2024,312,314,99.36305732484077,30.0,1280,720,45,358,right,0.645,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race013_pose.json
Speed_finals_Seoul_2024_race014,seoul_2024,162,162,100.0,30.0,1280,720,45,206,right,0.762,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race014_pose.json
Speed_finals_Seoul_2024_race015,seoul_2024,317,318,99.68553459119497,30.0,1280,720,45,362,right,0.589,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race015_pose.json
Speed_finals_Seoul_2024_race016,seoul_2024,200,200,100.0,30.0,1280,720,45,244,left,0.309,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race016_pose.json
Speed_finals_Seoul_2024_race017,seoul_2024,307,307,100.0,30.0,1280,720,45,351,left,0.36,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race017_pose.json
Speed_finals_Seoul_2024_race018,seoul_2024,199,199,100.0,30.0,1280,720,45,243,left,0.283,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race018_pose.json
Speed_finals_Seoul_2024_race019,seoul_2024,294,295,99.66101694915255,30.0,1280,720,45,339,left,0.386,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race019_pose.json
Speed_finals_Seoul_2024_race020,seoul_2024,181,182,99.45054945054946,30.0,1280,720,45,226,left,0.397,data/processed/poses/single_athlete/poses_seoul_2024/Speed_finals_Seoul_2024_race020_pose.json
