iteration,metric,reference_minus_cnn
43,precision_beginner,0.8571428571428572
43,recall_beginner,0.8
43,roc_auc,0.43137254901960786
43,pr_auc,0.8926977502980802
44,accuracy,0.07476635514018692
44,balanced_accuracy,0.41960784313725485
44,f1_macro,0.41960784313725485
44,f1_beginner,0.7999999999999999
44,precision_beginner,0.8
44,recall_beginner,0.8
44,roc_auc,0.503921568627451
44,pr_auc,0.9122837841251007
45,accuracy,0.11214953271028039
45,balanced_accuracy,0.4513201320132013
45,f1_macro,0.4585714285714285
45,f1_beginner,0.8571428571428571
45,precision_beginner,0.875
45,recall_beginner,0.8333333333333334
45,roc_auc,0.6287128712871287
45,pr_auc,0.9353894151233708
46,accuracy,0.09345794392523366
46,balanced_accuracy,0.5198019801980198
46,f1_macro,0.5245098039215685
46,f1_beginner,1.0
46,precision_beginner,1.0
46,recall_beginner,1.0
46,roc_auc,0.4636963696369637
46,pr_auc,0.9189221581211188
47,accuracy,0.10280373831775702
47,balanced_accuracy,0.5339805825242718
47,f1_macro,0.5270935960591133
47,f1_beginner,1.0
47,precision_beginner,1.0
47,recall_beginner,1.0
47,roc_auc,0.7961165048543689
47,pr_auc,0.971720124261053
48,accuracy,0.12149532710280375
48,balanced_accuracy,0.4635714285714285
48,f1_macro,0.4659966499162479
48,f1_beginner,0.8666666666666667
48,precision_beginner,0.875
48,recall_beginner,0.8571428571428572
48,roc_auc,0.45999999999999996
48,pr_auc,0.9028417592767835
49,accuracy,0.11214953271028039
49,balanced_accuracy,0.5297029702970297
49,f1_macro,0.5297029702970297
49,f1_beginner,1.0
49,precision_beginner,1.0
49,recall_beginner,1.0
49,roc_auc,0.5792079207920793
49,pr_auc,0.9417285888342525
50,accuracy,0.12149532710280375
50,balanced_accuracy,0.5346534653465347
50,f1_macro,0.5323383084577114
50,f1_beginner,1.0
50,precision_beginner,1.0
50,recall_beginner,1.0
50,roc_auc,0.7343234323432344
50,pr_auc,0.9539877998402936
51,accuracy,0.09345794392523366
51,balanced_accuracy,0.4414191419141914
51,f1_macro,0.4414191419141914
51,f1_beginner,0.8333333333333334
51,precision_beginner,0.8333333333333334
51,recall_beginner,0.8333333333333334
51,roc_auc,0.4735973597359736
51,pr_auc,0.912293283765494
52,accuracy,0.15887850467289721
52,balanced_accuracy,0.5588235294117647
52,f1_macro,0.5431472081218274
52,f1_beginner,1.0
52,precision_beginner,1.0
52,recall_beginner,1.0
52,roc_auc,0.5176470588235293
52,pr_auc,0.9399765898698909
53,accuracy,0.12149532710280375
53,balanced_accuracy,0.42354368932038833
53,f1_macro,0.4659966499162479
53,f1_beginner,0.8666666666666667
53,precision_beginner,0.9090909090909091
53,recall_beginner,0.75
53,roc_auc,0.36165048543689315
53,pr_auc,0.9322249645779057
54,accuracy,0.16822429906542058
54,balanced_accuracy,0.4962121212121212
54,f1_macro,0.4963917525773196
54,f1_beginner,0.9
54,precision_beginner,0.8888888888888888
54,recall_beginner,0.9090909090909091
54,roc_auc,0.5681818181818181
54,pr_auc,0.8913342234191486
55,accuracy,0.11214953271028039
55,balanced_accuracy,0.4392156862745098
55,f1_macro,0.4585714285714285
55,f1_beginner,0.8571428571428572
55,precision_beginner,0.8888888888888888
55,recall_beginner,0.8
55,roc_auc,0.6705882352941177
55,pr_auc,0.9450607488621036
56,accuracy,0.07476635514018692
56,balanced_accuracy,0.3245098039215686
56,f1_macro,0.3531353135313532
56,f1_beginner,0.6666666666666667
56,precision_beginner,0.7142857142857143
56,recall_beginner,0.6
56,roc_auc,0.3803921568627451
56,pr_auc,0.8687638737171448
57,accuracy,0.11214953271028039
57,balanced_accuracy,0.5297029702970297
57,f1_macro,0.5297029702970297
57,f1_beginner,1.0
57,precision_beginner,1.0
57,recall_beginner,1.0
57,roc_auc,0.44224422442244227
57,pr_auc,0.9242262442138401
58,accuracy,0.15887850467289721
58,balanced_accuracy,0.4760726072607261
58,f1_macro,0.4909581646423752
58,f1_beginner,0.8947368421052632
58,precision_beginner,0.9230769230769231
58,recall_beginner,0.8333333333333334
58,roc_auc,0.4356435643564357
58,pr_auc,0.9131073113571397
59,accuracy,0.07476635514018692
59,balanced_accuracy,0.5240384615384616
59,f1_macro,0.5194174757281553
59,f1_beginner,1.0
59,precision_beginner,1.0
59,recall_beginner,1.0
59,roc_auc,0.4326923076923077
59,pr_auc,0.9497850122850123
